#1
double data2(8760,2)   # comment line
   7740000           19
   7743600           19
   7747200           19
   7750800           19
   7754400           19
   7758000           19
   7761600           19
   7765200           19
   7768800           19
   7772400           19
   7776000           19
   7779600           19
   7783200           19
   7786800           19
   7790400           19
   7794000           19
   7797600           19
   7801200           19
   7804800           19
   7808400           19
   7812000           19
   7815600           19
   7819200           19
   7822800           19
   7826400           19
   7830000           19
   7833600           19
   7837200           19
   7840800           19
   7844400           19
   7848000           19
   7851600           19
   7855200           19
   7858800           19
   7862400           19
   7866000           19
   7869600           19
   7873200           19
   7876800           19
   7880400           19
   7884000           19
   7887600           19
   7891200           19
   7894800           19
   7898400           16
   7902000           16
   7905600           16
   7909200           16
   7912800           16
   7916400           16
   7920000           16
   7923600           16
   7927200           19
   7930800           19
   7934400           19
   7938000           19
   7941600           19
   7945200           19
   7948800           19
   7952400           19
   7956000           19
   7959600           19
   7963200           19
   7966800           19
   7970400           19
   7974000           19
   7977600           19
   7981200           19
   7984800           16
   7988400           16
   7992000           16
   7995600           16
   7999200           16
   8002800           16
   8006400           16
   8010000           16
   8013600           19
   8017200           19
   8020800           19
   8024400           19
   8028000           19
   8031600           19
   8035200           19
   8038800           19
   8042400           19
   8046000           19
   8049600           19
   8053200           19
   8056800           19
   8060400           19
   8064000           19
   8067600           19
   8071200           16
   8074800           16
   8078400           16
   8082000           16
   8085600           19
   8089200           19
   8092800           19
   8096400           19
   8100000           19
   8103600           19
   8107200           19
   8110800           19
   8114400           19
   8118000           19
   8121600           19
   8125200           19
   8128800           19
   8132400           19
   8136000           19
   8139600           19
   8143200           19
   8146800           19
   8150400           19
   8154000           19
   8157600           16
   8161200           16
   8164800           16
   8168400           16
   8172000           16
   8175600           16
   8179200           16
   8182800           16
   8186400           19
   8190000           19
   8193600           19
   8197200           19
   8200800           19
   8204400           19
   8208000           19
   8211600           19
   8215200           19
   8218800           19
   8222400           19
   8226000           19
   8229600           19
   8233200           19
   8236800           19
   8240400           19
   8244000           16
   8247600           16
   8251200           16
   8254800           16
   8258400           16
   8262000           16
   8265600           16
   8269200           16
   8272800           19
   8276400           19
   8280000           19
   8283600           19
   8287200           19
   8290800           19
   8294400           19
   8298000           19
   8301600           19
   8305200           19
   8308800           19
   8312400           19
   8316000           19
   8319600           19
   8323200           19
   8326800           19
   8330400           19
   8334000           19
   8337600           19
   8341200           19
   8344800           19
   8348400           19
   8352000           19
   8355600           19
   8359200           19
   8362800           19
   8366400           19
   8370000           19
   8373600           19
   8377200           19
   8380800           19
   8384400           19
   8388000           19
   8391600           19
   8395200           19
   8398800           19
   8402400           19
   8406000           19
   8409600           19
   8413200           19
   8416800           19
   8420400           19
   8424000           19
   8427600           19
   8431200           19
   8434800           19
   8438400           19
   8442000           19
   8445600           19
   8449200           19
   8452800           19
   8456400           19
   8460000           19
   8463600           19
   8467200           19
   8470800           19
   8474400           19
