#1	
double data(8760,2) #comment	
23425200	292.15
23428800	292.15
23432400	292.15
23436000	292.15
23439600	292.15
23443200	292.15
23446800	292.15
23450400	292.15
23454000	292.15
23457600	292.15
23461200	292.15
23464800	292.15
23468400	292.15
23472000	292.15
23475600	292.15
23479200	292.15
23482800	292.15
23486400	292.15
23490000	292.15
23493600	292.15
23497200	292.15
23500800	292.15
23504400	292.15
23508000	292.15
23511600	292.15
23515200	292.15
23518800	292.15
23522400	292.15
23526000	292.15
23529600	292.15
23533200	292.15
23536800	292.15
23540400	292.15
23544000	292.15
23547600	292.15
23551200	292.15
23554800	292.15
23558400	292.15
23562000	292.15
23565600	292.15
23569200	292.15
23572800	292.15
23576400	292.15
23580000	292.15
23583600	292.15
23587200	292.15
23590800	292.15
23594400	292.15
23598000	292.15
23601600	292.15
23605200	292.15
23608800	292.15
23612400	292.15
23616000	292.15
23619600	292.15
23623200	289.15
23626800	289.15
23630400	289.15
23634000	289.15
23637600	289.15
23641200	289.15
23644800	289.15
23648400	289.15
23652000	292.15
23655600	292.15
23659200	292.15
23662800	292.15
23666400	292.15
23670000	292.15
23673600	292.15
23677200	292.15
23680800	292.15
23684400	292.15
23688000	292.15
23691600	292.15
23695200	292.15
23698800	292.15
23702400	292.15
23706000	292.15
23709600	289.15
23713200	289.15
23716800	289.15
23720400	289.15
23724000	289.15
23727600	289.15
23731200	289.15
23734800	289.15
23738400	292.15
23742000	292.15
23745600	292.15
23749200	292.15
23752800	292.15
23756400	292.15
23760000	292.15
23763600	292.15
23767200	292.15
23770800	292.15
23774400	292.15
23778000	292.15
23781600	292.15
23785200	292.15
23788800	292.15
23792400	292.15
23796000	289.15
23799600	289.15
23803200	289.15
23806800	289.15
23810400	292.15
23814000	292.15
23817600	292.15
23821200	292.15
23824800	292.15
23828400	292.15
23832000	292.15
23835600	292.15
23839200	292.15
23842800	292.15
23846400	292.15
23850000	292.15
23853600	292.15
23857200	292.15
23860800	292.15
23864400	292.15
23868000	292.15
23871600	292.15
23875200	292.15
23878800	292.15
23882400	289.15
23886000	289.15
23889600	289.15
23893200	289.15
23896800	289.15
23900400	289.15
23904000	289.15
23907600	289.15
23911200	292.15
23914800	292.15
23918400	292.15
23922000	292.15
23925600	292.15
23929200	292.15
23932800	292.15
23936400	292.15
23940000	292.15
23943600	292.15
23947200	292.15
23950800	292.15
23954400	292.15
23958000	292.15
23961600	292.15
23965200	292.15
23968800	289.15
23972400	289.15
23976000	289.15
23979600	289.15
23983200	289.15
23986800	289.15
23990400	289.15
23994000	289.15
23997600	292.15
24001200	292.15
24004800	292.15
24008400	292.15
24012000	292.15
24015600	292.15
24019200	292.15
24022800	292.15
24026400	292.15
24030000	292.15
24033600	292.15
24037200	292.15
24040800	292.15
24044400	292.15
24048000	292.15
24051600	292.15
24055200	292.15
24058800	292.15
24062400	292.15
24066000	292.15
24069600	292.15
24073200	292.15
24076800	292.15
24080400	292.15
24084000	292.15
24087600	292.15
24091200	292.15
24094800	292.15
24098400	292.15
24102000	292.15
24105600	292.15
24109200	292.15
24112800	292.15
24116400	292.15
24120000	292.15
24123600	292.15
24127200	292.15
24130800	292.15
24134400	292.15
24138000	292.15
24141600	292.15
24145200	292.15
24148800	292.15
24152400	292.15
24156000	292.15
24159600	292.15
24163200	292.15
24166800	292.15
24170400	292.15
24174000	292.15
24177600	292.15
24181200	292.15
24184800	292.15
24188400	292.15
24192000	292.15
24195600	292.15
24199200	292.15
24202800	292.15
24206400	292.15
24210000	292.15
24213600	292.15
24217200	292.15
24220800	292.15
24224400	292.15
24228000	289.15
24231600	289.15
24235200	289.15
24238800	289.15
24242400	289.15
24246000	289.15
24249600	289.15
24253200	289.15
24256800	292.15
24260400	292.15
24264000	292.15
24267600	292.15
24271200	292.15
24274800	292.15
24278400	292.15
