#1	
double data1(17521,2)	# Comment
1078200	599
1080000	600
1081800	601
1083600	602
1085400	603
1087200	604
1089000	605
1090800	606
1092600	607
1094400	608
1096200	609
1098000	610
1099800	611
1101600	612
1103400	613
1105200	614
1107000	615
1108800	616
1110600	617
1112400	618
1114200	619
1116000	620
1117800	621
1119600	622
1121400	623
1123200	624
1125000	625
1126800	626
1128600	627
1130400	628
1132200	629
1134000	630
1135800	631
1137600	632
1139400	633
1141200	634
1143000	635
1144800	636
1146600	637
1148400	638
1150200	639
1152000	640
1153800	641
1155600	642
1157400	643
1159200	644
1161000	645
1162800	646
1164600	647
1166400	648
1168200	649
1170000	650
1171800	651
1173600	652
1175400	653
1177200	654
1179000	655
1180800	656
1182600	657
1184400	658
1186200	659
1188000	660
1189800	661
1191600	662
1193400	663
1195200	664
1197000	665
1198800	666
1200600	667
1202400	668
1204200	669
1206000	670
1207800	671
1209600	672
1211400	673
1213200	674
1215000	675
1216800	676
1218600	677
1220400	678
1222200	679
1224000	680
1225800	681
1227600	682
1229400	683
1231200	684
1233000	685
1234800	686
1236600	687
1238400	688
1240200	689
1242000	690
1243800	691
1245600	692
1247400	693
1249200	694
1251000	695
1252800	696
1254600	697
1256400	698
1258200	699
1260000	700
1261800	701
1263600	702
1265400	703
1267200	704
1269000	705
1270800	706
1272600	707
1274400	708
1276200	709
1278000	710
1279800	711
1281600	712
1283400	713
1285200	714
1287000	715
1288800	716
1290600	717
1292400	718
1294200	719
1296000	720
1297800	721
1299600	722
1301400	723
1303200	724
1305000	725
1306800	726
1308600	727
1310400	728
1312200	729
1314000	730
1315800	731
1317600	732
1319400	733
1321200	734
1323000	735
1324800	736
1326600	737
1328400	738
1330200	739
1332000	740
1333800	741
1335600	742
1337400	743
1339200	744
1341000	745
1342800	746
1344600	747
1346400	748
1348200	749
1350000	750
1351800	751
1353600	752
1355400	753
1357200	754
1359000	755
1360800	756
1362600	757
1364400	758
1366200	759
1368000	760
1369800	761
1371600	762
1373400	763
1375200	764
1377000	765
1378800	766
1380600	767
1382400	768
1384200	769
1386000	770
1387800	771
1389600	772
